functionality,table_name,dataorigin,column_name,function,issuearea
avaya_ingestion,Sessions_month_1,csv,_c120,drop_columns,Timestamp format issue with Databricks
avaya_ingestion,Sessions_month_1,csv,_c5;_c6;_c8;_c9;_c117;_c116,csv_yyyy_mm_dd_t_hh_mm_ss_sssz_to_yy_mm_dd_t_hh_mm_ss_sss,Timestamp format issue with Databricks
avaya_ingestion,Sessions_month_1,database,local_start_time;local_end_time;system_start_time;system_end_time;creation_date;remarked_at,db_yyyy_mm_dd_t_hh_mm_ss_sssz_to_yy_mm_dd_t_hh_mm_ss_sss,Timestamp format issue with Databricks
avaya_ingestion,Sessions_month_1,csv,_c14;_c15;_c16;_c22;_c119;_c114;_c81,trim_columns,Space gets truncated by Ingestion process in csv
avaya_ingestion,Sessions_month_1,csv,_c14;_c15;_c16;_c22;_c119;_c114;_c81,replace_emptystring_with_null,Empty string in database is null in csv
avaya_ingestion,Sessions_month_1,database,ANI;DNIS;PBX_id;switch_call_id;string_extension;remark;p18_value,trim_columns,Space gets truncated by Ingestion process in csv
avaya_ingestion,Sessions_month_1,database,ANI;DNIS;PBX_id;switch_call_id;string_extension;remark;p18_value,replace_emptystring_with_null,Empty string in database is null in csv
avaya_ingestion,Sessions_month_1,csv,_c65,append_zeroes_upto_10,0 gets trimmed from DB to CSV
avaya_ingestion,Sessions_month_1,database,p2_value,append_zeroes_upto_10,0 gets trimmed from DB to CSV
avaya_ingestion,Sessions_month_1,temp_csv,local_start_time;local_end_time;system_start_time;system_end_time;creation_date;remarked_at,csv_yyyy_mm_dd_t_hh_mm_ss_sssz_to_yy_mm_dd_t_hh_mm_ss_sss,Timestamp format issue with Databricks
avaya_ingestion,Sessions_month_1,temp_csv,ANI;DNIS;PBX_id;switch_call_id;string_extension;remark;p18_value,trim_columns,Space gets truncated by Ingestion process in csv
avaya_ingestion,Sessions_month_1,temp_csv,ANI;DNIS;PBX_id;switch_call_id;string_extension;remark;p18_value,replace_emptystring_with_null,Empty string in database is null in csv
